start,goal,net_add,net_del,net_temp,full_path,path,action,a_star_cost,a_star_ops,a_star_add,a_star_del,a_star_temp
2*8*10*11|1,2*7*12|1,2,3,0,[2*8*10*11|1]~~{(+7  12)}~~>[2*7*12|1],[2*8*10*11|1]~>[2*7*12|1],{(+7  12)}~,12.0,1,2,0,0
2*8*10*11|1,6*9*10*12|1,,,,N/A,N/A,N/A,,,,,
2*8*10*11|1,11*12|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,2|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,1*2|1,2,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+1)(-9)}~~>[1*11|1]~~{(+2)}~~>[1*2*11|1]~~{(-11)}~~>[1*2|1],[9*10*11|1]~>[9*11*12|1]~>[1*11|1]~>[1*2*11|1]~>[1*2|1],{(+12)}~{(+1)(-9)}~{(+2)}~{(-11)}~,43.2,4,3,2,0
9*10*11|1,3|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,5|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,3*4*5|1,,,,N/A,N/A,N/A,,,,,
9*10*11|1,1*3*6|1,3,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6)(-9)}~~>[6*12|1]~~{(+1  3)}~~>[1*3*6|1],[9*10*11|1]~>[9*11*12|1]~>[6*12|1]~>[1*3*6|1],{(+12)}~{(+6)(-9)}~{(+1  3)}~,34.1,3,4,1,0
9*10*11|1,1*4*6|1,3,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+6)(-9)}~~>[6*12|1]~~{(+1  4)}~~>[1*4*6|1],[9*10*11|1]~>[9*11*12|1]~>[6*12|1]~>[1*4*6|1],{(+12)}~{(+6)(-9)}~{(+1  4)}~,34.1,3,4,1,0
9*10*11|1,7|1,1,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(-9)}~~>[11*12|1]~~{(+7)(-11)}~~>[7|1],[9*10*11|1]~>[9*11*12|1]~>[11*12|1]~>[7|1],{(+12)}~{(-9)}~{(+7)(-11)}~,32.2,3,2,2,0
9*10*11|1,1*7|1,2,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(-9)}~~>[11*12|1]~~{(+1  7)(-11)}~~>[1*7|1],[9*10*11|1]~>[9*11*12|1]~>[11*12|1]~>[1*7|1],{(+12)}~{(-9)}~{(+1  7)(-11)}~,33.2,3,3,2,0
9*10*11|1,1*2*7|1,3,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+7)(-9)}~~>[7*11|1]~~{(+1  2)}~~>[1*2*7|1],[9*10*11|1]~>[9*11*12|1]~>[7*11|1]~>[1*2*7|1],{(+12)}~{(+7)(-9)}~{(+1  2)}~,34.1,3,4,1,0
9*10*11|1,3*7|1,2,3,0,[9*10*11|1]~~{(+12)}~~>[9*11*12|1]~~{(+3  7)(-9)}~~>[3*7|1],[9*10*11|1]~>[9*11*12|1]~>[3*7|1],{(+12)}~{(+3  7)(-9)}~,23.1,2,3,1,0
