node,intermediate_visits,in_degree,out_degree
|1,0,0,58
4*7*8*9*10|1,4,10,26
1*4*7*8*9*10|1,1,15,11
11|1,0,1,44
2*11|1,15,10,26
1*2*11|1,36,14,17
3*11|1,0,6,28
4*11|1,1,3,38
2*4*11|1,11,11,26
1*2*4*11|1,28,13,18
3*4*11|1,12,8,42
5*11|1,169,64,15
6*11|1,0,5,34
2*6*11|1,8,17,22
3*6*11|1,6,14,22
4*6*11|1,2,8,29
2*4*6*11|1,7,17,20
1*2*4*6*11|1,1,14,13
3*4*6*11|1,6,14,33
5*6*11|1,20,46,13
4*5*6*11|1,85,71,18
7*11|1,4,3,37
3*7*11|1,0,7,40
4*7*11|1,1,7,28
2*4*7*11|1,0,10,20
1*2*4*7*11|1,1,14,15
3*4*7*11|1,35,11,57
2*3*4*7*11|1,0,10,15
5*7*11|1,39,60,13
6*7*11|1,2,6,49
4*6*7*11|1,1,11,20
2*4*6*7*11|1,1,14,15
1*2*4*6*7*11|1,2,19,11
3*4*6*7*11|1,34,14,42
2*3*4*6*7*11|1,1,10,16
5*6*7*11|1,10,36,11
4*5*6*7*11|1,0,54,5
8*11|1,3,5,30
2*8*11|1,4,16,19
1*2*8*11|1,62,42,10
3*8*11|1,1,12,24
4*8*11|1,1,9,24
2*4*8*11|1,8,17,28
1*2*4*8*11|1,44,19,23
3*4*8*11|1,12,14,32
5*8*11|1,88,60,22
6*8*11|1,2,11,23
2*6*8*11|1,6,26,15
3*6*8*11|1,3,22,17
4*6*8*11|1,2,15,16
2*4*6*8*11|1,2,23,11
1*2*4*6*8*11|1,3,20,16
3*4*6*8*11|1,1,21,11
5*6*8*11|1,8,43,17
4*5*6*8*11|1,82,52,21
7*8*11|1,51,16,23
2*7*8*11|1,2,16,15
4*7*8*11|1,77,42,15
5*7*8*11|1,21,49,19
6*7*8*11|1,5,11,17
2*6*7*8*11|1,0,16,11
3*6*7*8*11|1,15,18,19
4*6*7*8*11|1,20,56,8
5*6*7*8*11|1,8,48,14
4*5*6*7*8*11|1,0,52,5
9*11|1,4,10,26
2*9*11|1,7,23,16
1*2*9*11|1,6,14,10
3*9*11|1,6,18,15
4*9*11|1,3,11,25
2*4*9*11|1,16,38,13
1*2*4*9*11|1,8,33,8
3*4*9*11|1,9,28,11
5*9*11|1,57,27,20
2*5*9*11|1,5,25,15
1*2*5*9*11|1,25,19,8
3*5*9*11|1,3,35,8
4*5*9*11|1,21,43,15
1*2*4*5*9*11|1,11,32,6
3*4*5*9*11|1,1,38,6
4*6*9*11|1,1,15,19
1*2*4*6*9*11|1,2,29,6
5*6*9*11|1,23,34,12
2*5*6*9*11|1,8,31,10
3*5*6*9*11|1,2,35,7
4*5*6*9*11|1,11,81,7
1*2*4*5*6*9*11|1,0,31,4
3*4*5*6*9*11|1,5,55,7
4*5*7*9*11|1,17,40,20
1*2*4*5*7*9*11|1,7,19,8
3*4*5*7*9*11|1,6,24,20
1*2*4*5*6*7*9*11|1,5,18,9
8*9*11|1,29,30,19
2*8*9*11|1,9,33,10
1*2*8*9*11|1,2,29,7
3*8*9*11|1,3,30,11
4*8*9*11|1,11,17,17
2*4*8*9*11|1,16,52,10
3*4*8*9*11|1,4,39,7
5*8*9*11|1,47,23,27
2*5*8*9*11|1,55,24,30
1*2*5*8*9*11|1,8,15,10
3*5*8*9*11|1,52,28,31
4*5*8*9*11|1,20,36,17
3*4*5*8*9*11|1,0,31,7
4*6*8*9*11|1,10,24,12
1*2*4*6*8*9*11|1,2,26,7
5*6*8*9*11|1,70,42,14
2*5*6*8*9*11|1,17,25,16
1*2*5*6*8*9*11|1,0,11,7
4*5*6*8*9*11|1,8,69,7
4*5*7*8*9*11|1,27,33,20
3*4*5*7*8*9*11|1,1,17,17
4*5*6*7*8*9*11|1,4,48,8
10*11|1,0,3,34
2*10*11|1,9,23,21
1*2*10*11|1,68,25,14
3*10*11|1,79,28,21
4*10*11|1,1,6,28
2*4*10*11|1,3,15,18
1*2*4*10*11|1,83,16,28
6*10*11|1,1,8,29
4*6*10*11|1,2,11,21
2*4*6*10*11|1,27,17,25
1*2*4*6*10*11|1,2,16,10
7*10*11|1,3,8,26
2*7*10*11|1,1,15,15
3*7*10*11|1,2,13,19
4*7*10*11|1,9,33,16
2*4*7*10*11|1,70,37,19
5*7*10*11|1,58,60,10
6*7*10*11|1,5,12,21
2*6*7*10*11|1,7,16,14
3*6*7*10*11|1,1,17,16
4*6*7*10*11|1,12,41,12
2*4*6*7*10*11|1,0,31,9
1*2*4*6*7*10*11|1,5,25,10
5*6*7*10*11|1,8,39,9
4*5*6*7*10*11|1,1,44,4
2*8*10*11|1,6,14,15
3*8*10*11|1,4,12,31
2*4*8*10*11|1,9,14,21
3*4*8*10*11|1,3,10,40
2*4*6*8*10*11|1,1,14,11
7*8*10*11|1,5,9,38
2*7*8*10*11|1,8,16,20
3*7*8*10*11|1,75,14,43
4*7*8*10*11|1,15,25,22
2*4*7*8*10*11|1,29,27,24
6*7*8*10*11|1,0,14,13
2*6*7*8*10*11|1,0,16,8
3*6*7*8*10*11|1,4,14,14
4*6*7*8*10*11|1,30,52,16
9*10*11|1,14,19,22
2*9*10*11|1,11,30,12
1*2*9*10*11|1,5,17,8
3*9*10*11|1,3,29,11
4*9*10*11|1,16,23,19
2*4*9*10*11|1,20,56,10
1*2*4*9*10*11|1,8,32,8
3*4*9*10*11|1,8,41,8
1*2*5*9*10*11|1,3,12,7
4*6*9*10*11|1,12,26,14
1*2*4*6*9*10*11|1,1,24,6
1*2*5*6*9*10*11|1,0,9,5
2*8*9*10*11|1,5,30,8
3*8*9*10*11|1,4,22,8
4*8*9*10*11|1,8,21,13
2*4*8*9*10*11|1,11,42,14
3*4*8*9*10*11|1,1,31,5
4*6*8*9*10*11|1,3,21,9
